Name,Path,Type,Schedule,Priority,Has People.py,Has Init.py,Has Requirements,Size,Tested,Status
Ca Sk,scrapers/scrapers-ca/ca_sk,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Trois Rivieres,scrapers/scrapers-ca/ca_qc_trois_rivieres,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Montreal,scrapers/scrapers-ca/ca_qc_montreal,municipal,monthly,high,True,True,False,small,True,working
Ca Qc Montreal Est,scrapers/scrapers-ca/ca_qc_montreal_est,municipal,monthly,high,True,True,False,small,True,working
Ca Sk Saskatoon,scrapers/scrapers-ca/ca_sk_saskatoon,municipal,monthly,medium,True,True,False,small,True,working
Ca Ns Halifax,scrapers/scrapers-ca/ca_ns_halifax,municipal,monthly,medium,True,True,False,small,True,working
Ca Qc Westmount,scrapers/scrapers-ca/ca_qc_westmount,provincial,weekly,high,True,True,False,small,True,working
Ca Bc Burnaby,scrapers/scrapers-ca/ca_bc_burnaby,municipal,monthly,medium,True,True,False,small,True,working
Ca Qc Gatineau,scrapers/scrapers-ca/ca_qc_gatineau,municipal,monthly,medium,True,True,False,small,True,working
Ca Qc,scrapers/scrapers-ca/ca_qc,provincial,weekly,high,True,True,False,small,True,working
Ca On Georgina,scrapers/scrapers-ca/ca_on_georgina,provincial,weekly,high,True,True,False,small,True,working
Ca On Peel,scrapers/scrapers-ca/ca_on_peel,provincial,weekly,high,True,True,False,small,True,working
Ca On Brantford,scrapers/scrapers-ca/ca_on_brantford,provincial,weekly,high,True,True,False,small,True,working
Ca Ab Grande Prairie,scrapers/scrapers-ca/ca_ab_grande_prairie,provincial,weekly,high,True,True,False,small,True,working
Ca Nb Moncton,scrapers/scrapers-ca/ca_nb_moncton,municipal,monthly,medium,True,True,False,small,True,working
Ca Ns Cape Breton,scrapers/scrapers-ca/ca_ns_cape_breton,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Longueuil,scrapers/scrapers-ca/ca_qc_longueuil,provincial,weekly,high,True,True,False,small,True,working
Ca On Oakville,scrapers/scrapers-ca/ca_on_oakville,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Dorval,scrapers/scrapers-ca/ca_qc_dorval,provincial,weekly,high,True,True,False,small,True,working
Ca On Ajax,scrapers/scrapers-ca/ca_on_ajax,provincial,weekly,high,True,True,False,small,True,working
Ca On Waterloo,scrapers/scrapers-ca/ca_on_waterloo,provincial,weekly,high,True,True,False,small,True,working
Ca Nb Fredericton,scrapers/scrapers-ca/ca_nb_fredericton,municipal,monthly,medium,True,True,False,small,True,working
Ca On Niagara On The Lake,scrapers/scrapers-ca/ca_on_niagara_on_the_lake,provincial,weekly,high,True,True,False,small,True,working
Ca On King,scrapers/scrapers-ca/ca_on_king,provincial,weekly,high,True,True,False,small,True,working
Ca Qc Beaconsfield,scrapers/scrapers-ca/ca_qc_beaconsfield,provincial,weekly,high,True,True,False,small,True,working
Ca Bc Kelowna,scrapers/scrapers-ca/ca_bc_kelowna,provincial,weekly,high,True,True,False,small,True,working
Ca On Greater Sudbury,scrapers/scrapers-ca/ca_on_greater_sudbury,provincial,weekly,high,True,True,False,small,True,working
Ca Pe Stratford,scrapers/scrapers-ca/ca_pe_stratford,provincial,weekly,high,True,True,False,small,True,working
Ca On Whitchurch Stouffville,scrapers/scrapers-ca/ca_on_whitchurch_stouffville,provincial,weekly,high,True,True,False,small,True,working
Ca On Chatham Kent,scrapers/scrapers-ca/ca_on_chatham_kent,provincial,weekly,high,True,True,False,small,True,working
Ca On,scrapers/scrapers-ca/ca_on,provincial,weekly,high,True,True,False,small,True,working
Ca On Belleville,scrapers/scrapers-ca/ca_on_belleville,provincial,weekly,high,True,True,False,small,True,working
Ca On Richmond Hill,scrapers/scrapers-ca/ca_on_richmond_hill,municipal,monthly,medium,True,True,False,small,True,working
Ca On Toronto,scrapers/scrapers-ca/ca_on_toronto,municipal,monthly,high,True,True,False,small,True,working
Ca Bc Vancouver,scrapers/scrapers-ca/ca_bc_vancouver,municipal,monthly,high,True,True,False,small,True,working
Ca Nl,scrapers/scrapers-ca/ca_nl,provincial,weekly,high,True,True,False,small,True,working
